objectid,filename,title,date,location,description,source,identifier,format,description
vs_ls_001,angkor,Angkor,,,,,,image/jpeg,
vs_ls_002,archi_drawing,Archi drawing,,,,,,image/jpeg,
vs_ls_003,banana,Banana,,,,,,image/jpeg,
vs_ls_004,budda,Budda,,,,,,image/jpeg,
vs_ls_005,cairo,Cairo,,,,,,image/jpeg,
vs_ls_006,cupid,Cupid,,,,,,image/jpeg,
vs_ls_007,girl,Girl,,,,,,image/jpeg,
vs_ls_008,goya,Goya,,,,,,image/jpeg,
vs_ls_009,mt_athos,Mt. Athos,,,,,,image/jpeg,
vs_ls_010,selinunte,Selinunte,,,,,,image/jpeg,
vs_ls_011,stairway,Stairway,,,,,,image/jpeg,
vs_ls_012,turner,Turner,,,,,,image/jpeg,
vs_ls_013,wailing_wall,Wailing Wall,,,,,,image/jpeg,
